time_min,replica,cpu_cores,hpa_threshold_cores,replica_count
2.75,synt16,0.22774,0.12500,21
2.75,synt17,0.25336,0.12500,21
2.75,synt18,0.26610,0.12500,21
2.75,synt19,0.24934,0.12500,21
2.75,synt20,0.26809,0.12500,21
2.75,synt21,0.26905,0.12500,21
2.75,synt22,0.25737,0.12500,21
2.75,synt23,0.26983,0.12500,21
2.75,synt24,0.26840,0.12500,21
2.75,synt25,0.26463,0.12500,21
2.75,synt26,0.31466,0.12500,21
2.75,synt27,0.26885,0.12500,21
2.75,synt28,0.24001,0.12500,21
2.75,synt29,0.26515,0.12500,21
3.00,2rq8p,0.23317,0.12500,29
3.00,7jgfk,0.26087,0.12500,29
3.00,8rcmm,0.24081,0.12500,29
3.00,c5km5,0.22969,0.12500,29
3.00,d9zpf,0.28331,0.12500,29
3.00,l4lxv,0.24397,0.12500,29
3.00,lnrpz,0.23350,0.12500,29
3.00,mhzzs,0.21526,0.12500,29
3.00,mw69c,0.26031,0.12500,29
3.00,synt10,0.24279,0.12500,29
3.00,synt11,0.21647,0.12500,29
3.00,synt12,0.28343,0.12500,29
3.00,synt13,0.28531,0.12500,29
3.00,synt14,0.25012,0.12500,29
3.00,synt15,0.22991,0.12500,29
3.00,synt16,0.23284,0.12500,29
3.00,synt17,0.25213,0.12500,29
3.00,synt18,0.27019,0.12500,29
3.00,synt19,0.24125,0.12500,29
3.00,synt20,0.24972,0.12500,29
3.00,synt21,0.21667,0.12500,29
3.00,synt22,0.21941,0.12500,29
3.00,synt23,0.23615,0.12500,29
3.00,synt24,0.23396,0.12500,29
3.00,synt25,0.26675,0.12500,29
3.00,synt26,0.29777,0.12500,29
3.00,synt27,0.26082,0.12500,29
3.00,synt28,0.22534,0.12500,29
3.00,synt29,0.23702,0.12500,29
3.25,2rq8p,0.22683,0.12500,29
3.25,7jgfk,0.25223,0.12500,29
3.25,8rcmm,0.23516,0.12500,29
3.25,c5km5,0.23238,0.12500,29
3.25,d9zpf,0.28459,0.12500,29
3.25,l4lxv,0.23147,0.12500,29
3.25,lnrpz,0.22038,0.12500,29
3.25,mhzzs,0.21395,0.12500,29
3.25,mw69c,0.27327,0.12500,29
3.25,synt10,0.24948,0.12500,29
3.25,synt11,0.22679,0.12500,29
3.25,synt12,0.29004,0.12500,29
3.25,synt13,0.27125,0.12500,29
3.25,synt14,0.24133,0.12500,29
3.25,synt15,0.22785,0.12500,29
3.25,synt16,0.24539,0.12500,29
3.25,synt17,0.25973,0.12500,29
3.25,synt18,0.26555,0.12500,29
3.25,synt19,0.24434,0.12500,29
3.25,synt20,0.23672,0.12500,29
3.25,synt21,0.22096,0.12500,29
3.25,synt22,0.21861,0.12500,29
3.25,synt23,0.24706,0.12500,29
3.25,synt24,0.23717,0.12500,29
3.25,synt25,0.26127,0.12500,29
3.25,synt26,0.28483,0.12500,29
3.25,synt27,0.24909,0.12500,29
3.25,synt28,0.23783,0.12500,29
3.25,synt29,0.24797,0.12500,29
3.50,2rq8p,0.23258,0.12500,29
3.50,7jgfk,0.25247,0.12500,29
3.50,8rcmm,0.23743,0.12500,29
3.50,c5km5,0.24144,0.12500,29
3.50,d9zpf,0.27537,0.12500,29
3.50,l4lxv,0.21787,0.12500,29
3.50,lnrpz,0.20910,0.12500,29
3.50,mhzzs,0.22338,0.12500,29
3.50,mw69c,0.28685,0.12500,29
3.50,synt10,0.26141,0.12500,29
3.50,synt11,0.23843,0.12500,29
3.50,synt12,0.28815,0.12500,29
3.50,synt13,0.26215,0.12500,29
3.50,synt14,0.24274,0.12500,29
3.50,synt15,0.23529,0.12500,29
3.50,synt16,0.25811,0.12500,29
3.50,synt17,0.27119,0.12500,29
3.50,synt18,0.25285,0.12500,29
3.50,synt19,0.24009,0.12500,29
3.50,synt20,0.22610,0.12500,29
3.50,synt21,0.23482,0.12500,29
3.50,synt22,0.22710,0.12500,29
3.50,synt23,0.25543,0.12500,29
3.50,synt24,0.24584,0.12500,29
3.50,synt25,0.24905,0.12500,29
3.50,synt26,0.27239,0.12500,29
3.50,synt27,0.23877,0.12500,29
3.50,synt28,0.25124,0.12500,29
3.50,synt29,0.25816,0.12500,29
3.75,2rq8p,0.24655,0.12500,29
3.75,7jgfk,0.26146,0.12500,29
3.75,8rcmm,0.24662,0.12500,29
3.75,c5km5,0.25307,0.12500,29
3.75,d9zpf,0.26131,0.12500,29
3.75,l4lxv,0.21174,0.12500,29
3.75,lnrpz,0.20587,0.12500,29
3.75,mhzzs,0.23764,0.12500,29
3.75,mw69c,0.29221,0.12500,29
3.75,synt10,0.27284,0.12500,29
3.75,synt11,0.24639,0.12500,29
3.75,synt12,0.27867,0.12500,29
3.75,synt13,0.26359,0.12500,29
3.75,synt14,0.25353,0.12500,29
3.75,synt15,0.24820,0.12500,29
3.75,synt16,0.26368,0.12500,29
3.75,synt17,0.28166,0.12500,29
3.75,synt18,0.23969,0.12500,29
3.75,synt19,0.22986,0.12500,29
3.75,synt20,0.22308,0.12500,29
3.75,synt21,0.24716,0.12500,29
3.75,synt22,0.23954,0.12500,29
3.75,synt23,0.25424,0.12500,29
3.75,synt24,0.24757,0.12500,29
3.75,synt25,0.23666,0.12500,29
3.75,synt26,0.26507,0.12500,29
3.75,synt27,0.23434,0.12500,29
3.75,synt28,0.25670,0.12500,29
3.75,synt29,0.25926,0.12500,29
4.00,2rq8p,0.24519,0.12500,29
4.00,7jgfk,0.25940,0.12500,29
4.00,8rcmm,0.24447,0.12500,29
4.00,c5km5,0.24803,0.12500,29
4.00,d9zpf,0.23732,0.12500,29
4.00,l4lxv,0.20505,0.12500,29
4.00,lnrpz,0.20084,0.12500,29
4.00,mhzzs,0.23417,0.12500,29
4.00,mw69c,0.27022,0.12500,29
4.00,synt10,0.26301,0.12500,29
4.00,synt11,0.23372,0.12500,29
4.00,synt12,0.25158,0.12500,29
4.00,synt13,0.25967,0.12500,29
4.00,synt14,0.25270,0.12500,29
4.00,synt15,0.24543,0.12500,29
4.00,synt16,0.24469,0.12500,29
4.00,synt17,0.27102,0.12500,29
4.00,synt18,0.22132,0.12500,29
4.00,synt19,0.20622,0.12500,29
4.00,synt20,0.21667,0.12500,29
4.00,synt21,0.23637,0.12500,29
4.00,synt22,0.23622,0.12500,29
4.00,synt23,0.23081,0.12500,29
4.00,synt24,0.22822,0.12500,29
4.00,synt25,0.21822,0.12500,29
4.00,synt26,0.25199,0.12500,29
4.00,synt27,0.22471,0.12500,29
4.00,synt28,0.23700,0.12500,29
4.00,synt29,0.23691,0.12500,29
4.25,2rq8p,0.13299,0.12500,29
4.25,7jgfk,0.14348,0.12500,29
4.25,8rcmm,0.13550,0.12500,29
4.25,c5km5,0.13412,0.12500,29
4.25,d9zpf,0.12730,0.12500,29
4.25,l4lxv,0.11628,0.12500,29
4.25,lnrpz,0.11375,0.12500,29
4.25,mhzzs,0.12484,0.12500,29
4.25,mw69c,0.13776,0.12500,29
4.25,synt10,0.13877,0.12500,29
4.25,synt11,0.12175,0.12500,29
4.25,synt12,0.12978,0.12500,29
4.25,synt13,0.14616,0.12500,29
4.25,synt14,0.13989,0.12500,29
4.25,synt15,0.13356,0.12500,29
4.25,synt16,0.12446,0.12500,29
4.25,synt17,0.14367,0.12500,29
4.25,synt18,0.12146,0.12500,29
4.25,synt19,0.10668,0.12500,29
4.25,synt20,0.12223,0.12500,29
4.25,synt21,0.12237,0.12500,29
4.25,synt22,0.12801,0.12500,29
4.25,synt23,0.11721,0.12500,29
4.25,synt24,0.11630,0.12500,29
4.25,synt25,0.11912,0.12500,29
4.25,synt26,0.13992,0.12500,29
4.25,synt27,0.12503,0.12500,29
4.25,synt28,0.11998,0.12500,29
4.25,synt29,0.11999,0.12500,29
4.50,2rq8p,0.01741,0.12500,29
4.50,7jgfk,0.01804,0.12500,29
4.50,8rcmm,0.01774,0.12500,29
4.50,c5km5,0.01698,0.12500,29
4.50,d9zpf,0.01806,0.12500,29
4.50,l4lxv,0.01570,0.12500,29
4.50,lnrpz,0.01523,0.12500,29
4.50,mhzzs,0.01528,0.12500,29
4.50,mw69c,0.01778,0.12500,29
4.50,synt10,0.01695,0.12500,29
4.50,synt11,0.01539,0.12500,29
4.50,synt12,0.01684,0.12500,29
4.50,synt13,0.01992,0.12500,29
4.50,synt14,0.01886,0.12500,29
4.50,synt15,0.01782,0.12500,29
4.50,synt16,0.01523,0.12500,29
4.50,synt17,0.01816,0.12500,29
4.50,synt18,0.01724,0.12500,29
4.50,synt19,0.01481,0.12500,29
4.50,synt20,0.01700,0.12500,29
4.50,synt21,0.01554,0.12500,29
4.50,synt22,0.01640,0.12500,29
4.50,synt23,0.01576,0.12500,29
4.50,synt24,0.01434,0.12500,29
4.50,synt25,0.01703,0.12500,29
4.50,synt26,0.01957,0.12500,29
4.50,synt27,0.01681,0.12500,29
4.50,synt28,0.01511,0.12500,29
4.50,synt29,0.01519,0.12500,29
4.75,2rq8p,0.00356,0.12500,29
4.75,7jgfk,0.00228,0.12500,29
4.75,8rcmm,0.00289,0.12500,29
4.75,c5km5,0.00266,0.12500,29
4.75,d9zpf,0.00383,0.12500,29
4.75,l4lxv,0.00236,0.12500,29
4.75,lnrpz,0.00221,0.12500,29
4.75,mhzzs,0.00229,0.12500,29
4.75,mw69c,0.00360,0.12500,29
4.75,synt10,0.00240,0.12500,29
4.75,synt11,0.00284,0.12500,29
4.75,synt12,0.00288,0.12500,29
4.75,synt13,0.00368,0.12500,29
4.75,synt14,0.00388,0.12500,29
4.75,synt15,0.00377,0.12500,29
4.75,synt16,0.00242,0.12500,29
4.75,synt17,0.00308,0.12500,29
4.75,synt18,0.00344,0.12500,29
4.75,synt19,0.00343,0.12500,29
4.75,synt20,0.00315,0.12500,29
4.75,synt21,0.00312,0.12500,29
4.75,synt22,0.00283,0.12500,29
4.75,synt23,0.00370,0.12500,29
4.75,synt24,0.00235,0.12500,29
4.75,synt25,0.00359,0.12500,29
4.75,synt26,0.00378,0.12500,29
4.75,synt27,0.00259,0.12500,29
4.75,synt28,0.00283,0.12500,29
4.75,synt29,0.00280,0.12500,29
5.00,2rq8p,0.00395,0.12500,29
5.00,7jgfk,0.00251,0.12500,29
5.00,8rcmm,0.00365,0.12500,29
5.00,c5km5,0.00295,0.12500,29
5.00,d9zpf,0.00429,0.12500,29
5.00,l4lxv,0.00356,0.12500,29
5.00,lnrpz,0.00249,0.12500,29
5.00,mhzzs,0.00413,0.12500,29
5.00,mw69c,0.00516,0.12500,29
5.00,synt10,0.00379,0.12500,29
5.00,synt11,0.00439,0.12500,29
5.00,synt12,0.00349,0.12500,29
5.00,synt13,0.00376,0.12500,29
5.00,synt14,0.00418,0.12500,29
5.00,synt15,0.00561,0.12500,29
5.00,synt16,0.00347,0.12500,29
5.00,synt17,0.00376,0.12500,29
5.00,synt18,0.00537,0.12500,29
5.00,synt19,0.00497,0.12500,29
5.00,synt20,0.00514,0.12500,29
5.00,synt21,0.00471,0.12500,29
5.00,synt22,0.00284,0.12500,29
5.00,synt23,0.00371,0.12500,29
5.00,synt24,0.00336,0.12500,29
5.00,synt25,0.00463,0.12500,29
5.00,synt26,0.00456,0.12500,29
5.00,synt27,0.00412,0.12500,29
5.00,synt28,0.00373,0.12500,29
5.00,synt29,0.00386,0.12500,29
5.25,2rq8p,0.00449,0.12500,29
5.25,7jgfk,0.00362,0.12500,29
5.25,8rcmm,0.00350,0.12500,29
5.25,c5km5,0.00287,0.12500,29
5.25,d9zpf,0.00391,0.12500,29
5.25,l4lxv,0.00411,0.12500,29
5.25,lnrpz,0.00305,0.12500,29
5.25,mhzzs,0.00262,0.12500,29
5.25,mw69c,0.00489,0.12500,29
5.25,synt10,0.00413,0.12500,29
5.25,synt11,0.00418,0.12500,29
5.25,synt12,0.00472,0.12500,29
5.25,synt13,0.00408,0.12500,29
5.25,synt14,0.00490,0.12500,29
5.25,synt15,0.00478,0.12500,29
5.25,synt16,0.00275,0.12500,29
5.25,synt17,0.00477,0.12500,29
5.25,synt18,0.00501,0.12500,29
5.25,synt19,0.00516,0.12500,29
5.25,synt20,0.00455,0.12500,29
5.25,synt21,0.00469,0.12500,29
5.25,synt22,0.00306,0.12500,29
5.25,synt23,0.00541,0.12500,29
5.25,synt24,0.00433,0.12500,29
5.25,synt25,0.00441,0.12500,29
5.25,synt26,0.00441,0.12500,29
5.25,synt27,0.00434,0.12500,29
5.25,synt28,0.00332,0.12500,29
5.25,synt29,0.00318,0.12500,29
5.50,2rq8p,0.00364,0.12500,29
5.50,7jgfk,0.00322,0.12500,29
5.50,8rcmm,0.00415,0.12500,29
5.50,c5km5,0.00384,0.12500,29
5.50,d9zpf,0.00494,0.12500,29
5.50,l4lxv,0.00275,0.12500,29
5.50,lnrpz,0.00414,0.12500,29
5.50,mhzzs,0.00286,0.12500,29
5.50,mw69c,0.00516,0.12500,29
5.50,synt10,0.00267,0.12500,29
5.50,synt11,0.00350,0.12500,29
5.50,synt12,0.00445,0.12500,29
5.50,synt13,0.00393,0.12500,29
5.50,synt14,0.00469,0.12500,29
5.50,synt15,0.00481,0.12500,29
5.50,synt16,0.00275,0.12500,29
5.50,synt17,0.00404,0.12500,29
5.50,synt18,0.00517,0.12500,29
5.50,synt19,0.00491,0.12500,29
5.50,synt20,0.00434,0.12500,29
5.50,synt21,0.00400,0.12500,29
5.50,synt22,0.00456,0.12500,29
5.50,synt23,0.00494,0.12500,29
5.50,synt24,0.00235,0.12500,29
5.50,synt25,0.00378,0.12500,29
5.50,synt26,0.00499,0.12500,29
5.50,synt27,0.00439,0.12500,29
5.50,synt28,0.00425,0.12500,29
5.50,synt29,0.00478,0.12500,29
5.75,2rq8p,0.00387,0.12500,29
5.75,7jgfk,0.00341,0.12500,29
5.75,8rcmm,0.00362,0.12500,29
5.75,c5km5,0.00300,0.12500,29
5.75,d9zpf,0.00457,0.12500,29
5.75,l4lxv,0.00298,0.12500,29
5.75,lnrpz,0.00340,0.12500,29
5.75,mhzzs,0.00259,0.12500,29
5.75,mw69c,0.00387,0.12500,29
5.75,synt10,0.00363,0.12500,29
